Date,Visitor,G,Home,G,,Att.,LOG,Notes
2012-02-16,Buffalo Sabres,2,Philadelphia Flyers,7,,19725,,
2012-02-16,New York Islanders,1,St. Louis Blues,5,,18434,,
2012-02-16,San Jose Sharks,5,Tampa Bay Lightning,6,OT,16819,,
2012-02-17,Montreal Canadiens,4,Buffalo Sabres,3,SO,18690,,
2012-02-17,San Jose Sharks,2,Carolina Hurricanes,3,,18680,,
2012-02-17,Nashville Predators,1,Detroit Red Wings,2,,20066,,
2012-02-17,Colorado Avalanche,3,Edmonton Oilers,1,,16839,,
2012-02-17,Washington Capitals,2,Florida Panthers,1,,17779,,
2012-02-17,Anaheim Ducks,2,New Jersey Devils,3,SO,15312,,
2012-02-17,Boston Bruins,2,Winnipeg Jets,4,,15004,,
2012-02-18,Chicago Blackhawks,6,Columbus Blue Jackets,1,,18663,,
2012-02-18,Calgary Flames,1,Los Angeles Kings,0,,18118,,
2012-02-18,Carolina Hurricanes,3,New York Islanders,4,,11818,,
2012-02-18,Pittsburgh Penguins,6,Philadelphia Flyers,4,,19958,,
2012-02-18,Dallas Stars,1,Phoenix Coyotes,2,OT,16604,,
2012-02-18,Minnesota Wild,0,St. Louis Blues,4,,19150,,
2012-02-18,Washington Capitals,1,Tampa Bay Lightning,2,,19204,,
2012-02-18,Toronto Maple Leafs,2,Vancouver Canucks,6,,18890,,
2012-02-19,Pittsburgh Penguins,2,Buffalo Sabres,6,,18690,,
2012-02-19,St. Louis Blues,1,Chicago Blackhawks,3,,22077,,
2012-02-19,Nashville Predators,3,Dallas Stars,2,,11865,,
2012-02-19,San Jose Sharks,2,Detroit Red Wings,3,,20066,,
2012-02-19,Vancouver Canucks,5,Edmonton Oilers,2,,16839,,
2012-02-19,Anaheim Ducks,2,Florida Panthers,0,,15945,,
2012-02-19,Boston Bruins,0,Minnesota Wild,2,,19198,,
2012-02-19,New Jersey Devils,3,Montreal Canadiens,1,,21273,,
2012-02-19,Columbus Blue Jackets,2,New York Rangers,3,OT,18200,,
2012-02-19,Colorado Avalanche,1,Winnipeg Jets,5,,15004,,
2012-02-20,Washington Capitals,0,Carolina Hurricanes,5,,16837,,
2012-02-20,Ottawa Senators,6,New York Islanders,0,,15818,,
2012-02-21,New York Islanders,1,Buffalo Sabres,2,,18690,,
2012-02-21,San Jose Sharks,3,Columbus Blue Jackets,6,,14625,,
2012-02-21,Edmonton Oilers,6,Calgary Flames,1,,19289,,
2012-02-21,Detroit Red Wings,1,Chicago Blackhawks,2,,22027,,
2012-02-21,Dallas Stars,3,Montreal Canadiens,0,,21273,,
2012-02-21,Vancouver Canucks,1,Nashville Predators,3,,16769,,
2012-02-21,Los Angeles Kings,4,Phoenix Coyotes,5,SO,10842,,
2012-02-21,New York Rangers,0,Pittsburgh Penguins,2,,18580,,
2012-02-21,Anaheim Ducks,2,Tampa Bay Lightning,3,,18309,,
2012-02-21,New Jersey Devils,4,Toronto Maple Leafs,3,OT,19426,,
2012-02-21,Philadelphia Flyers,5,Winnipeg Jets,4,OT,15004,,
2012-02-22,Los Angeles Kings,1,Colorado Avalanche,4,,15907,,
2012-02-22,Washington Capitals,2,Ottawa Senators,5,,18357,,
2012-02-22,Boston Bruins,4,St. Louis Blues,2,,18460,,
2012-02-23,Anaheim Ducks,3,Carolina Hurricanes,2,SO,16564,,
2012-02-23,Phoenix Coyotes,4,Calgary Flames,3,SO,19289,,
2012-02-23,Dallas Stars,3,Chicago Blackhawks,1,,21659,,
2012-02-23,Vancouver Canucks,4,Detroit Red Wings,3,SO,20066,,
2012-02-23,Philadelphia Flyers,0,Edmonton Oilers,2,,16839,,
2012-02-23,Minnesota Wild,3,Florida Panthers,2,SO,13892,,
2012-02-23,St. Louis Blues,3,Nashville Predators,2,SO,16828,,
2012-02-23,San Jose Sharks,2,Toronto Maple Leafs,1,,19493,,
2012-02-23,Tampa Bay Lightning,3,Winnipeg Jets,4,,15004,,
2012-02-24,Boston Bruins,1,Buffalo Sabres,2,SO,18690,,
2012-02-24,Colorado Avalanche,5,Columbus Blue Jackets,0,,16925,,
2012-02-24,Minnesota Wild,1,Dallas Stars,4,,13144,,
2012-02-24,Vancouver Canucks,2,New Jersey Devils,1,,16480,,
2012-02-24,New York Rangers,3,New York Islanders,4,SO,16250,,
2012-02-24,Montreal Canadiens,1,Washington Capitals,4,,18506,,
2012-02-25,Florida Panthers,3,Carolina Hurricanes,2,SO,18680,,
2012-02-25,Philadelphia Flyers,5,Calgary Flames,4,SO,19289,,
2012-02-25,Colorado Avalanche,4,Detroit Red Wings,3,,20066,,
2012-02-25,Phoenix Coyotes,3,Edmonton Oilers,1,,16839,,
2012-02-25,Chicago Blackhawks,0,Los Angeles Kings,4,,18118,,
2012-02-25,San Jose Sharks,2,Nashville Predators,6,,17113,,
2012-02-25,Buffalo Sabres,2,New York Rangers,3,OT,18200,,
2012-02-25,Boston Bruins,5,Ottawa Senators,3,,19444,,
2012-02-25,Tampa Bay Lightning,1,Pittsburgh Penguins,8,,18596,,
2012-02-25,Washington Capitals,4,Toronto Maple Leafs,2,,19577,,
2012-02-25,St. Louis Blues,3,Winnipeg Jets,2,SO,15004,,
2012-02-26,Chicago Blackhawks,1,Anaheim Ducks,3,,17601,,
2012-02-26,Vancouver Canucks,2,Dallas Stars,3,OT,18010,,
2012-02-26,Montreal Canadiens,2,Florida Panthers,4,,18108,,
2012-02-26,San Jose Sharks,3,Minnesota Wild,4,,17401,,
2012-02-26,Tampa Bay Lightning,4,New Jersey Devils,3,,15981,,
2012-02-26,New York Islanders,2,Ottawa Senators,5,,19660,,
2012-02-26,Columbus Blue Jackets,2,Pittsburgh Penguins,4,,18602,,
2012-02-27,St. Louis Blues,3,Calgary Flames,1,,19289,,
2012-02-27,Anaheim Ducks,1,Colorado Avalanche,4,,15133,,
2012-02-27,Los Angeles Kings,1,Nashville Predators,2,,15665,,
2012-02-27,New Jersey Devils,0,New York Rangers,2,,18200,,
2012-02-27,Edmonton Oilers,5,Winnipeg Jets,3,,15004,,
2012-02-28,Ottawa Senators,1,Boston Bruins,0,,17565,,
2012-02-28,Nashville Predators,3,Carolina Hurricanes,4,,13595,,
2012-02-28,Detroit Red Wings,5,Columbus Blue Jackets,2,,14333,,
2012-02-28,Los Angeles Kings,4,Minnesota Wild,0,,17317,,
2012-02-28,Vancouver Canucks,1,Phoenix Coyotes,2,SO,16691,,
2012-02-28,Philadelphia Flyers,0,San Jose Sharks,1,,17562,,
2012-02-28,Montreal Canadiens,1,Tampa Bay Lightning,2,,18878,,
2012-02-28,Florida Panthers,5,Toronto Maple Leafs,3,,19420,,
2012-02-28,New York Islanders,2,Washington Capitals,3,OT,18506,,
2012-02-29,Buffalo Sabres,2,Anaheim Ducks,0,,14972,,
2012-02-29,Toronto Maple Leafs,4,Chicago Blackhawks,5,,21244,,
2012-02-29,Pittsburgh Penguins,4,Dallas Stars,3,SO,17455,,
2012-02-29,St. Louis Blues,5,Edmonton Oilers,2,,16839,,
2012-03-01,New Jersey Devils,3,Boston Bruins,4,OT,17565,,
2012-03-01,New York Rangers,3,Carolina Hurricanes,2,,14523,,
2012-03-01,Columbus Blue Jackets,2,Colorado Avalanche,0,,13236,,
2012-03-01,Minnesota Wild,4,Montreal Canadiens,5,SO,21273,,
2012-03-01,New York Islanders,3,Philadelphia Flyers,6,,19674,,
2012-03-01,Calgary Flames,4,Phoenix Coyotes,2,,10989,,
2012-03-01,Buffalo Sabres,1,San Jose Sharks,0,,17562,,
2012-03-01,St. Louis Blues,0,Vancouver Canucks,2,,18890,,
2012-03-01,Florida Panthers,0,Winnipeg Jets,7,,15004,,
2012-03-02,Calgary Flames,2,Anaheim Ducks,3,,16431,,
2012-03-02,Minnesota Wild,0,Detroit Red Wings,6,,20066,,
2012-03-02,Dallas Stars,3,Edmonton Oilers,1,,16839,,
2012-03-02,Chicago Blackhawks,2,Ottawa Senators,1,,18788,,
2012-03-02,New York Rangers,3,Tampa Bay Lightning,4,OT,19204,,
2012-03-02,New Jersey Devils,5,Washington Capitals,0,,18506,,
2012-03-03,New York Islanders,3,Boston Bruins,2,,17565,,
2012-03-03,Tampa Bay Lightning,4,Carolina Hurricanes,3,OT,17116,,
2012-03-03,Pittsburgh Penguins,5,Colorado Avalanche,1,,18007,,
2012-03-03,Nashville Predators,3,Florida Panthers,1,,15904,,
2012-03-03,Anaheim Ducks,2,Los Angeles Kings,4,,18301,,
2012-03-03,Toronto Maple Leafs,3,Montreal Canadiens,1,,21273,,
2012-03-03,Columbus Blue Jackets,5,Phoenix Coyotes,2,,13579,,
2012-03-03,St. Louis Blues,3,San Jose Sharks,1,,17562,,
2012-03-03,Buffalo Sabres,5,Vancouver Canucks,3,,18890,,
2012-03-04,Dallas Stars,3,Calgary Flames,2,SO,19289,,
2012-03-04,Chicago Blackhawks,2,Detroit Red Wings,1,,20066,,
2012-03-04,Ottawa Senators,2,Florida Panthers,4,,15811,,
2012-03-04,Colorado Avalanche,2,Minnesota Wild,0,,17354,,
2012-03-04,New Jersey Devils,0,New York Islanders,1,,16250,,
2012-03-04,Boston Bruins,3,New York Rangers,4,,18200,,
2012-03-04,Philadelphia Flyers,1,Washington Capitals,0,,18506,,
2012-03-05,Edmonton Oilers,2,Anaheim Ducks,4,,13596,,
2012-03-05,Phoenix Coyotes,1,Pittsburgh Penguins,2,,18540,,
2012-03-05,Buffalo Sabres,1,Winnipeg Jets,3,,15004,,
2012-03-06,Phoenix Coyotes,2,Columbus Blue Jackets,3,,10915,,
2012-03-06,Montreal Canadiens,4,Calgary Flames,5,,19289,,
2012-03-06,Minnesota Wild,1,Colorado Avalanche,7,,13385,,
2012-03-06,New York Rangers,1,New Jersey Devils,4,,17625,,
2012-03-06,Los Angeles Kings,5,Nashville Predators,4,,17113,,
2012-03-06,Detroit Red Wings,2,Philadelphia Flyers,3,,19892,,
2012-03-06,Edmonton Oilers,3,San Jose Sharks,2,SO,17562,,
2012-03-06,Chicago Blackhawks,1,St. Louis Blues,5,,19150,,
2012-03-06,Ottawa Senators,7,Tampa Bay Lightning,3,,18967,,
2012-03-06,Boston Bruins,5,Toronto Maple Leafs,4,,19684,,
2012-03-06,Dallas Stars,5,Vancouver Canucks,2,,18890,,
2012-03-06,Carolina Hurricanes,4,Washington Capitals,3,OT,18506,,
2012-03-07,Carolina Hurricanes,2,Buffalo Sabres,3,OT,18690,,
2012-03-07,Toronto Maple Leafs,2,Pittsburgh Penguins,3,,18539,,
2012-03-08,Buffalo Sabres,1,Boston Bruins,3,,17565,,
2012-03-08,Los Angeles Kings,1,Columbus Blue Jackets,3,,14306,,
2012-03-08,San Jose Sharks,3,Dallas Stars,4,SO,16812,,
2012-03-08,Montreal Canadiens,5,Edmonton Oilers,3,,16839,,
2012-03-08,New York Islanders,1,New Jersey Devils,5,,14573,,
2012-03-08,Colorado Avalanche,2,Nashville Predators,4,,17113,,
2012-03-08,New York Rangers,1,Ottawa Senators,4,,18854,,
2012-03-08,Florida Panthers,0,Philadelphia Flyers,5,,19675,,
2012-03-08,Minnesota Wild,3,Phoenix Coyotes,2,SO,11716,,
2012-03-08,Anaheim Ducks,1,St. Louis Blues,3,,19150,,
2012-03-08,Winnipeg Jets,2,Vancouver Canucks,3,,18890,,
2012-03-08,Tampa Bay Lightning,2,Washington Capitals,3,OT,18506,,
2012-03-09,Winnipeg Jets,3,Calgary Flames,5,,19289,,
2012-03-09,New York Rangers,3,Chicago Blackhawks,4,,22049,,
2012-03-09,Los Angeles Kings,3,Detroit Red Wings,4,,20066,,
2012-03-09,Florida Panthers,1,Pittsburgh Penguins,2,SO,18606,,
2012-03-10,Washington Capitals,4,Boston Bruins,3,,17565,,
2012-03-10,Edmonton Oilers,2,Colorado Avalanche,3,SO,15683,,
2012-03-10,Anaheim Ducks,0,Dallas Stars,2,,18228,,
2012-03-10,Detroit Red Wings,2,Nashville Predators,3,,17113,,
2012-03-10,New Jersey Devils,2,New York Islanders,1,,16250,,
2012-03-10,Buffalo Sabres,4,Ottawa Senators,3,SO,19951,,
2012-03-10,San Jose Sharks,0,Phoenix Coyotes,3,,14994,,
2012-03-10,Columbus Blue Jackets,1,St. Louis Blues,4,,19150,,
2012-03-10,Carolina Hurricanes,4,Tampa Bay Lightning,2,,18554,,
2012-03-10,Philadelphia Flyers,1,Toronto Maple Leafs,0,SO,19559,,
2012-03-10,Montreal Canadiens,4,Vancouver Canucks,1,,18890,,
2012-03-11,St. Louis Blues,2,Columbus Blue Jackets,1,,14969,,
2012-03-11,Los Angeles Kings,3,Chicago Blackhawks,2,SO,21398,,
2012-03-11,Carolina Hurricanes,0,Florida Panthers,2,,15081,,
2012-03-11,Calgary Flames,4,Minnesota Wild,3,,17119,,
2012-03-11,Philadelphia Flyers,1,New Jersey Devils,4,,15107,,
2012-03-11,New York Islanders,3,New York Rangers,4,OT,18200,,
2012-03-11,Boston Bruins,2,Pittsburgh Penguins,5,,18609,,
2012-03-11,Toronto Maple Leafs,0,Washington Capitals,2,,18506,,
2012-03-12,Montreal Canadiens,2,Buffalo Sabres,3,OT,18690,,
2012-03-12,Anaheim Ducks,2,Colorado Avalanche,3,OT,15045,,
2012-03-12,San Jose Sharks,3,Edmonton Oilers,2,,16839,,
2012-03-12,Nashville Predators,5,Phoenix Coyotes,4,SO,11518,,
2012-03-13,San Jose Sharks,2,Calgary Flames,3,OT,19289,,
2012-03-13,St. Louis Blues,3,Chicago Blackhawks,4,SO,21349,,
2012-03-13,Toronto Maple Leafs,2,Florida Panthers,5,,17475,,
2012-03-13,Detroit Red Wings,2,Los Angeles Kings,5,,18118,,
2012-03-13,Dallas Stars,1,Minnesota Wild,0,,17326,,
2012-03-13,Washington Capitals,5,New York Islanders,4,SO,11488,,
2012-03-13,Carolina Hurricanes,2,New York Rangers,4,,18200,,
2012-03-13,New Jersey Devils,0,Philadelphia Flyers,3,,19724,,
2012-03-13,Boston Bruins,1,Tampa Bay Lightning,6,,19204,,
2012-03-14,Detroit Red Wings,0,Anaheim Ducks,4,,16331,,
2012-03-14,Colorado Avalanche,5,Buffalo Sabres,4,SO,18690,,
2012-03-14,Columbus Blue Jackets,0,Edmonton Oilers,3,,16839,,
2012-03-14,Ottawa Senators,2,Montreal Canadiens,3,SO,21273,,
2012-03-14,Phoenix Coyotes,5,Vancouver Canucks,4,,18890,,
2012-03-14,Dallas Stars,2,Winnipeg Jets,5,,15004,,
2012-03-15,St. Louis Blues,0,Carolina Hurricanes,2,,18680,,
2012-03-15,Phoenix Coyotes,1,Calgary Flames,4,,19289,,
2012-03-15,Boston Bruins,2,Florida Panthers,6,,19004,,
2012-03-15,Colorado Avalanche,0,New Jersey Devils,1,SO,16055,,
2012-03-15,Philadelphia Flyers,3,New York Islanders,2,,13827,,
2012-03-15,Pittsburgh Penguins,5,New York Rangers,2,,18200,,
2012-03-15,Nashville Predators,1,San Jose Sharks,2,SO,17562,,
2012-03-15,Toronto Maple Leafs,3,Tampa Bay Lightning,1,,19204,,
2012-03-16,Los Angeles Kings,4,Anaheim Ducks,2,,17367,,
2012-03-16,Chicago Blackhawks,4,Dallas Stars,1,,19099,,
2012-03-16,Calgary Flames,1,Edmonton Oilers,3,,16839,,
2012-03-16,Montreal Canadiens,1,Ottawa Senators,2,OT,20500,,
2012-03-16,Washington Capitals,2,Winnipeg Jets,3,,15004,,
2012-03-17,Philadelphia Flyers,2,Boston Bruins,3,SO,17565,,
2012-03-17,Buffalo Sabres,2,Florida Panthers,3,SO,16827,,
2012-03-17,Nashville Predators,2,Los Angeles Kings,4,,18118,,
2012-03-17,Carolina Hurricanes,5,Minnesota Wild,3,,18394,,
2012-03-17,New York Islanders,3,Montreal Canadiens,2,SO,21273,,
2012-03-17,Pittsburgh Penguins,5,New Jersey Devils,2,,17625,,
2012-03-17,Colorado Avalanche,3,New York Rangers,1,,18200,,
2012-03-17,Toronto Maple Leafs,3,Ottawa Senators,1,,20500,,
2012-03-17,Detroit Red Wings,2,San Jose Sharks,3,OT,17562,,
2012-03-17,St. Louis Blues,3,Tampa Bay Lightning,1,,18777,,
2012-03-17,Columbus Blue Jackets,3,Vancouver Canucks,4,,18890,,
2012-03-18,Nashville Predators,3,Anaheim Ducks,1,,14978,,
2012-03-18,Columbus Blue Jackets,2,Calgary Flames,1,SO,19289,,
2012-03-18,Washington Capitals,2,Chicago Blackhawks,5,,21561,,
2012-03-18,Phoenix Coyotes,3,Edmonton Oilers,2,SO,16839,,
2012-03-18,Pittsburgh Penguins,2,Philadelphia Flyers,3,OT,19927,,
2012-03-18,Carolina Hurricanes,4,Winnipeg Jets,3,,15004,,
2012-03-19,Toronto Maple Leafs,0,Boston Bruins,8,,17565,,
2012-03-19,Washington Capitals,5,Detroit Red Wings,3,,20066,,
2012-03-19,Vancouver Canucks,0,Minnesota Wild,2,,17188,,
2012-03-19,New Jersey Devils,2,New York Rangers,4,,18200,,
2012-03-19,Anaheim Ducks,5,San Jose Sharks,3,,17562,,
2012-03-19,Buffalo Sabres,7,Tampa Bay Lightning,3,,17212,,
2012-03-20,Chicago Blackhawks,5,Columbus Blue Jackets,1,,15311,,
2012-03-20,Calgary Flames,1,Colorado Avalanche,2,OT,14223,,
2012-03-20,Phoenix Coyotes,3,Dallas Stars,4,SO,17012,,
2012-03-20,San Jose Sharks,2,Los Angeles Kings,5,,18118,,
2012-03-20,Edmonton Oilers,6,Nashville Predators,3,,17113,,
2012-03-20,New Jersey Devils,1,Ottawa Senators,0,,19834,,
2012-03-20,Florida Panthers,2,Philadelphia Flyers,1,,19568,,
2012-03-20,Winnipeg Jets,4,Pittsburgh Penguins,8,,18589,,
2012-03-20,New York Islanders,5,Toronto Maple Leafs,2,,19351,,
2012-03-21,St. Louis Blues,3,Anaheim Ducks,4,,14494,,
2012-03-21,Montreal Canadiens,0,Buffalo Sabres,3,,18690,,
2012-03-21,Florida Panthers,1,Carolina Hurricanes,3,,18680,,
2012-03-21,Vancouver Canucks,1,Chicago Blackhawks,2,OT,21715,,
2012-03-21,Detroit Red Wings,1,New York Rangers,2,OT,18200,,
2012-03-22,Vancouver Canucks,2,Dallas Stars,1,,16618,,
2012-03-22,St. Louis Blues,0,Los Angeles Kings,1,SO,18118,,
2012-03-22,Calgary Flames,2,Minnesota Wild,3,SO,17002,,
2012-03-22,Washington Capitals,1,Philadelphia Flyers,2,SO,19948,,
2012-03-22,Colorado Avalanche,2,Phoenix Coyotes,3,,14938,,
2012-03-22,Nashville Predators,1,Pittsburgh Penguins,5,,18579,,
2012-03-22,Boston Bruins,1,San Jose Sharks,2,,17562,,
2012-03-22,Edmonton Oilers,2,Tampa Bay Lightning,3,SO,17893,,
2012-03-23,Carolina Hurricanes,1,Columbus Blue Jackets,5,,15085,,
2012-03-23,Edmonton Oilers,2,Florida Panthers,1,SO,16214,,
2012-03-23,Ottawa Senators,1,Montreal Canadiens,5,,21273,,
2012-03-23,Toronto Maple Leafs,4,New Jersey Devils,3,SO,16022,,
2012-03-23,Buffalo Sabres,4,New York Rangers,1,,18200,,
2012-03-23,Winnipeg Jets,4,Washington Capitals,3,OT,18506,,
2012-03-24,Minnesota Wild,1,Buffalo Sabres,3,,18690,,
2012-03-24,Vancouver Canucks,3,Colorado Avalanche,2,OT,18007,,
2012-03-24,Calgary Flames,1,Dallas Stars,4,,17238,,
2012-03-24,Carolina Hurricanes,4,Detroit Red Wings,5,,20066,,
2012-03-24,Boston Bruins,4,Los Angeles Kings,2,,18310,,
2012-03-24,Winnipeg Jets,1,Nashville Predators,3,,17113,,
2012-03-24,Pittsburgh Penguins,4,Ottawa Senators,8,,20076,,
2012-03-24,Montreal Canadiens,1,Philadelphia Flyers,4,,19931,,
2012-03-24,Phoenix Coyotes,3,San Jose Sharks,4,SO,17562,,
2012-03-24,New York Islanders,3,Tampa Bay Lightning,4,,19204,,
2012-03-24,New York Rangers,4,Toronto Maple Leafs,3,SO,19507,,
2012-03-25,Boston Bruins,3,Anaheim Ducks,2,,17395,,
2012-03-25,Edmonton Oilers,6,Columbus Blue Jackets,3,,12295,,
2012-03-25,Nashville Predators,6,Chicago Blackhawks,1,,21463,,
2012-03-25,New York Islanders,3,Florida Panthers,2,SO,16814,,
2012-03-25,St. Louis Blues,4,Phoenix Coyotes,0,,12585,,
2012-03-25,New Jersey Devils,2,Pittsburgh Penguins,5,,18601,,
2012-03-25,Minnesota Wild,0,Washington Capitals,3,,18506,,
2012-03-26,Dallas Stars,4,Calgary Flames,5,,19289,,
2012-03-26,Columbus Blue Jackets,2,Detroit Red Wings,7,,20066,,
2012-03-26,Tampa Bay Lightning,5,Philadelphia Flyers,3,,19590,,
2012-03-26,Colorado Avalanche,1,San Jose Sharks,5,,17562,,
2012-03-26,Los Angeles Kings,0,Vancouver Canucks,1,,18890,,
2012-03-26,Ottawa Senators,6,Winnipeg Jets,4,,15004,,
2012-03-27,Tampa Bay Lightning,2,Boston Bruins,5,,17565,,
2012-03-27,New York Rangers,3,Minnesota Wild,2,,17880,,
2012-03-27,Florida Panthers,3,Montreal Canadiens,2,SO,21273,,
2012-03-27,Chicago Blackhawks,1,New Jersey Devils,2,SO,15074,,
2012-03-27,New York Islanders,5,Pittsburgh Penguins,3,,18588,,
2012-03-27,Nashville Predators,0,St. Louis Blues,3,,19150,,
2012-03-27,Carolina Hurricanes,3,Toronto Maple Leafs,0,,19348,,
2012-03-27,Buffalo Sabres,5,Washington Capitals,1,,18506,,
2012-03-28,San Jose Sharks,1,Anaheim Ducks,3,,14780,,
2012-03-28,Detroit Red Wings,2,Columbus Blue Jackets,4,,12432,,
2012-03-28,Los Angeles Kings,3,Calgary Flames,0,,19289,,
2012-03-28,Dallas Stars,3,Edmonton Oilers,1,,16839,,
2012-03-28,Colorado Avalanche,0,Vancouver Canucks,1,,18890,,
2012-03-28,New York Rangers,4,Winnipeg Jets,2,,15004,,
2012-03-29,Washington Capitals,3,Boston Bruins,2,SO,17565,,
2012-03-29,St. Louis Blues,3,Chicago Blackhawks,4,SO,21659,,
2012-03-29,Florida Panthers,2,Minnesota Wild,3,OT,16952,,
2012-03-29,Tampa Bay Lightning,4,New Jersey Devils,6,,15380,,
2012-03-29,Pittsburgh Penguins,3,New York Islanders,5,,12018,,
2012-03-29,San Jose Sharks,0,Phoenix Coyotes,2,,14446,,
2012-03-29,Philadelphia Flyers,7,Toronto Maple Leafs,1,,19415,,
2012-03-30,Pittsburgh Penguins,5,Buffalo Sabres,3,,18690,,
2012-03-30,Winnipeg Jets,4,Carolina Hurricanes,3,OT,18680,,
2012-03-30,Florida Panthers,1,Columbus Blue Jackets,4,,17994,,
2012-03-30,Colorado Avalanche,4,Calgary Flames,1,,19289,,
2012-03-30,Nashville Predators,4,Detroit Red Wings,1,,20066,,
2012-03-30,Los Angeles Kings,4,Edmonton Oilers,1,,16839,,
2012-03-30,Montreal Canadiens,1,New York Rangers,4,,18200,,
2012-03-30,Dallas Stars,2,Vancouver Canucks,5,,18890,,
2012-03-31,New Jersey Devils,5,Carolina Hurricanes,0,,18680,,
2012-03-31,Los Angeles Kings,3,Minnesota Wild,4,SO,18209,,
2012-03-31,Chicago Blackhawks,5,Nashville Predators,4,,17113,,
2012-03-31,Boston Bruins,6,New York Islanders,3,,16250,,
2012-03-31,Ottawa Senators,4,Philadelphia Flyers,3,SO,19822,,
2012-03-31,Anaheim Ducks,0,Phoenix Coyotes,4,,15856,,
2012-03-31,Dallas Stars,0,San Jose Sharks,3,,17562,,
2012-03-31,Columbus Blue Jackets,5,St. Louis Blues,2,,19150,,
2012-03-31,Winnipeg Jets,2,Tampa Bay Lightning,3,OT,19204,,
2012-03-31,Buffalo Sabres,3,Toronto Maple Leafs,4,,19446,,
2012-03-31,Calgary Flames,2,Vancouver Canucks,3,OT,18890,,
2012-03-31,Montreal Canadiens,2,Washington Capitals,3,SO,18506,,
2012-04-01,Edmonton Oilers,2,Anaheim Ducks,1,,17266,,
2012-04-01,Minnesota Wild,5,Chicago Blackhawks,4,SO,21576,,
2012-04-01,Florida Panthers,1,Detroit Red Wings,2,SO,20066,,
2012-04-01,Ottawa Senators,5,New York Islanders,1,,14210,,
2012-04-01,Boston Bruins,2,New York Rangers,1,,18200,,
2012-04-01,Philadelphia Flyers,6,Pittsburgh Penguins,4,,18601,,
2012-04-02,Edmonton Oilers,0,Los Angeles Kings,2,,18118,,
2012-04-02,Washington Capitals,2,Tampa Bay Lightning,4,,19204,,
2012-04-03,Pittsburgh Penguins,5,Boston Bruins,3,,17565,,
2012-04-03,Toronto Maple Leafs,5,Buffalo Sabres,6,OT,18690,,
2012-04-03,San Jose Sharks,5,Dallas Stars,2,,18584,,
2012-04-03,Winnipeg Jets,5,Florida Panthers,4,OT,17760,,
2012-04-03,New York Islanders,1,New Jersey Devils,3,,15482,,
2012-04-03,Minnesota Wild,1,Nashville Predators,2,SO,17113,,
2012-04-03,Carolina Hurricanes,2,Ottawa Senators,1,,19484,,
2012-04-03,New York Rangers,5,Philadelphia Flyers,3,,19898,,
2012-04-03,Columbus Blue Jackets,0,Phoenix Coyotes,2,,13263,,
2012-04-03,Anaheim Ducks,4,Vancouver Canucks,5,SO,18890,,
2012-04-04,Tampa Bay Lightning,2,Montreal Canadiens,5,,21273,,
2012-04-04,Detroit Red Wings,3,St. Louis Blues,2,SO,18755,,
2012-04-05,Montreal Canadiens,1,Carolina Hurricanes,2,SO,17836,,
2012-04-05,Vancouver Canucks,2,Calgary Flames,3,,19289,,
2012-04-05,Columbus Blue Jackets,5,Colorado Avalanche,2,,15610,,
2012-04-05,New Jersey Devils,2,Detroit Red Wings,1,,20066,,
2012-04-05,Anaheim Ducks,3,Edmonton Oilers,2,OT,16839,,
2012-04-05,San Jose Sharks,6,Los Angeles Kings,5,SO,18330,,
2012-04-05,Chicago Blackhawks,1,Minnesota Wild,2,SO,18643,,
2012-04-05,Dallas Stars,0,Nashville Predators,2,,17113,,
2012-04-05,Winnipeg Jets,4,New York Islanders,5,,13048,,
2012-04-05,Boston Bruins,3,Ottawa Senators,1,,20500,,
2012-04-05,Buffalo Sabres,1,Philadelphia Flyers,2,,19873,,
2012-04-05,New York Rangers,2,Pittsburgh Penguins,5,,18585,,
2012-04-05,Tampa Bay Lightning,2,Toronto Maple Leafs,3,OT,19369,,
2012-04-05,Florida Panthers,2,Washington Capitals,4,,18506,,
2012-04-06,Phoenix Coyotes,4,St. Louis Blues,1,,19150,,
2012-04-07,Buffalo Sabres,3,Boston Bruins,4,SO,17565,,
2012-04-07,New York Islanders,3,Columbus Blue Jackets,7,,17652,,
2012-04-07,Anaheim Ducks,2,Calgary Flames,5,,19289,,
2012-04-07,Nashville Predators,6,Colorado Avalanche,1,,18007,,
2012-04-07,St. Louis Blues,3,Dallas Stars,2,,16560,,
2012-04-07,Chicago Blackhawks,3,Detroit Red Wings,2,SO,20066,,
2012-04-07,Carolina Hurricanes,1,Florida Panthers,4,,19057,,
2012-04-07,Phoenix Coyotes,4,Minnesota Wild,1,,18864,,
2012-04-07,Toronto Maple Leafs,1,Montreal Canadiens,4,,21273,,
2012-04-07,Ottawa Senators,2,New Jersey Devils,4,,17625,,
2012-04-07,Washington Capitals,4,New York Rangers,1,,18200,,
2012-04-07,Philadelphia Flyers,2,Pittsburgh Penguins,4,,18616,,
2012-04-07,Los Angeles Kings,2,San Jose Sharks,3,OT,17562,,
2012-04-07,Edmonton Oilers,0,Vancouver Canucks,3,,18890,,
2012-04-07,Tampa Bay Lightning,4,Winnipeg Jets,3,OT,15004,, 
2013-01-19,New York Rangers,1,Boston Bruins,3,,17565,,
2013-01-19,Phoenix Coyotes,3,Dallas Stars,4,,18532,,
2013-01-19,Carolina Hurricanes,1,Florida Panthers,5,,19688,,
2013-01-19,Chicago Blackhawks,5,Los Angeles Kings,2,,18545,,
